Group,ID,Name,R,G,B,Animal,Vegetable,Mineral
Oranges,80,Reddish Orange,190,114,73,Lower Wings of Tyger Moth.,Hemimeris. Buff Hibiscus.,
Oranges,81,Deep Reddish Orange,187,96,60,Gold Fish lustre abstracted.,Scarlet Leadington Apple.,
Reds,82,Tile Red,199,107,74,Breast of the Cock Bullfinch.,Shrubby Pimpernel.,Porcelain Jasper.
Reds,83,Hyacinth Red,167,85,54,Red Spots of the Lygœns Apterus Fly.,Red on the golden Rennette Apple.,Hyacinth.
Reds,84,Scarlet Red,182,62,54,Scarlet Ibis or Curlew. Mark on the Head of Red Grouse.,Large red Oriental Poppy. Red Parts of red and black Indian Peas.,Light red Cinnaber.
Reds,85,Vermilion Red,181,73,58,Red Coral.,Love Apple.,Cinnaber.
Reds,86,Aurora Red,205,109,87,Vent converts of Pied Wood-Pecker.,Red on the Naked Apple.,Red Orpiment.
Reds,87,Arterial Blood Red,113,21,24,Head of the Cock Gold-finch.,Corn Poppy Cherry.,
Reds,88,Flesh Red,233,196,157,Human Skin.,Larkspur.,Heavy Spar. Limestone.
Reds,89,Rose Red,238,218,195,,Common Garden Rose.,Figure Stone.
Reds,90,Peach Blossom Red,238,207,191,,Peach Blossom.,Red Cobolt Ore.
Reds,91,Carmine Red,206,83,107,,Raspberry. Cocks Comb. Carnation Pink.,Oriental Ruby.
Reds,92,Lake Red,183,74,112,,Red Tulip. Rose Officinalus.,Spinel.
Reds,93,Crimson Red,183,117,124,,,Precious Garnet.
Reds,94,Purplish Red,97,39,65,Outside of Quills of Terico.,Dark Crimson Officinal Garden Rose.,Precious Garnet.
Reds,95,Cochineal Red,122,72,72,,Under Disk of decayed Leaves of None-so-pretty.,Dark Cinnaber.
Reds,96,Veinous Blood Red,63,48,51,Veinous Blood.,Musk Flower, or dark Purple Scabious.,Pyrope.
Reds,97,Brownish Purple Red,141,116,111,,Flower of deadly Nightshade.,Red Antimony Ore.
Reds,98,Chocolate Red,77,54,53,Breast of Bird of Paradise.,Brown Disk of common Marigold.,
Reds,99,Brownish Red,110,59,49,Mark on Throat of Red-throated Diver.,,Iron Flint.
Browns,100,Deep Orange-coloured Brown,134,71,53,Head of Pochard. Wing coverts of Sheldrake.,Female Spike of Catstail Reed.,
Browns,101,Deep Reddish Brown,85,61,58,Breast of Pochard, and Neck of Teal Drake.,Dead Leaves of green Panic Grass.,Brown Blende.
Browns,102,Umber Brown,97,57,54,Moor Buzzard.,Disk of Rubeckia.,
Browns,103,Chestnut Brown,122,75,58,Neck and Breast of Red Grouse.,Chestnuts.,Egyptian Jasper.
Browns,104,Yellowish Brown,148,105,67,Light Brown Spots on Guinea-Pig. Breast of a Hoopoe.,,Iron Flint, and common Jasper.
Browns,105,Wood Brown,195,158,109,Common Weasel. Light parts of Feathers on the Back of the Snipe.,Hazed Nuts.,Mountain Wood.
Browns,107,Hair Brown,139,120,89,Head of Pintail Duck,,Wood Tin.
Browns,108,Broccoli Brown,155,133,107,Head of Black headed Gull.,,Zircon.
Browns,109,Clove Brown,118,96,81,Head and Neck of Male Kestril.,Stems of Black Currant Bush.,Axinite, Rok Cristal.
Browns,110,Blackish Brown,69,59,50,Stormy Petril. Forehead of Foumart.,,Mineral Pitch.
